Job title,Company name,Locations name,Skills,links
Senior Software Developer,Kanawat -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · SQL · Software · CSS · ASP.NET · javaScript · C# · ERD,/jobs/p/tjcTo825q1RY-Senior-Software-Developer-Kanawat-Cairo-Egypt?o=35&l=sp&t=sj&a=html|search-v3|navbg
Senior Flutter Software Developer,IT Cores -,"6th of October, Giza, Egypt ",Full TimeFreelance / ProjectExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · Development · HTML · Information Technology (IT) · Software Development · Software Engineering · Software,/jobs/p/E84jfDrnIID8-Senior-Flutter Software-Developer-IT-Cores-Giza-Egypt?o=36&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Developer,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · .Net · Angular · ASP.Net · HTML5 · Information Technology (IT) · JavaScript · JSON,/jobs/p/gt4PbkBcG12b-Full-Stack-Developer-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt?o=37&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Web Developer (UX/UI),Confidential -,"Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Full Stack · Information Technology (IT) · Python · Java · HTML · CSS · Software Development,/jobs/p/y2Nk0wo1YO0g-Full-Stack-Web-Developer-UXUI-Cairo-Egypt?o=38&l=sp&t=sj&a=html|search-v3|navbg
Java Back-End Developer,Mobilar -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Testing · Arabic · English · Computer Science · Information Technology (IT) · IT · Quality Control · APIs,/jobs/p/JEXscT1n7Bq3-Java-Back-End-Developer-Mobilar-Cairo-Egypt?o=39&l=sp&t=sj&a=html|search-v3|navbg
Junior Web Developer,scandiweb -,"Riga, Latvia ",Full TimeWork From HomeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · CSS · PHP · jQuery · Web Development · Software Development · MySQL · Software Engineering,/jobs/p/xYx0VLOkZwGh-Junior-Web-Developer-scandiweb-Riga-Latvia?o=40&l=sp&t=sj&a=html|search-v3|navbg
ASP.NET Junior Software Developer,Nebras Technology -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · javaScript · TypeScript · Web Development · Computer Science · Software Engineering · Software Development · WebPack · MongoDB,/jobs/p/1ewwABTcRz90-ASPNET-Junior-Software-Developer-Nebras-Technology-Giza-Egypt?o=41&l=sp&t=sj&a=html|search-v3|navbg
UX & Web Front-End Developer,iucon Egypt -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Frameworks · Design · JavaScript · Software Development · Html 5 · HTML · Information Technology (IT),/jobs/p/csrBAOyTiGmy-UX-Web-Front-End-Developer-iucon-Egypt-Giza-Egypt?o=42&l=sp&t=sj&a=html|search-v3|navbg
Software Engineering Director,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeSenior Management · 4+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · PHP · Mongo DB · Mongo · Symfony 2 · Angular · Yii · Laravel,/jobs/p/gDSvDDkvFwHZ-Software-Engineering-Director-Cairo-Egypt?o=43&l=sp&t=sj&a=html|search-v3|navbg
Senior Full-Stack .NET Developer,Tafeel -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Angular · .NET · Full Stack · SQL · javaScript · ASP.NET,/jobs/p/aHrJnJX71wms-Senior-Full-Stack-NET-Developer-Tafeel-Cairo-Egypt?o=44&l=sp&t=sj&a=html|search-v3|navbg
